id,name,age,education
user-1,User 1,65,PhD
user-2,User 2,51,Master
user-3,User 3,35,PhD
user-4,User 4,47,High School
user-5,User 5,46,Master
user-6,User 6,24,Bachelor
user-7,User 7,48,PhD
user-8,User 8,53,High School
user-9,User 9,28,PhD
user-10,User 10,18,Master
user-11,User 11,65,High School
user-12,User 12,26,Bachelor
user-13,User 13,55,Bachelor
user-14,User 14,20,PhD
user-15,User 15,29,PhD
user-16,User 16,36,Master
user-17,User 17,44,Master
user-18,User 18,31,Bachelor
user-19,User 19,32,Master
user-20,User 20,26,PhD
user-21,User 21,38,Bachelor
user-22,User 22,35,PhD
user-23,User 23,28,High School
user-24,User 24,61,High School
,User 25,-1,
user-26,User 26,32,Bachelor
user-27,User 27,22,PhD
user-28,User 28,28,Bachelor
user-29,User 29,25,PhD
user-30,User 30,52,Bachelor
user-31,User 31,31,PhD
user-32,User 32,37,PhD
user-33,User 33,64,Bachelor
user-34,User 34,44,PhD
user-35,User 35,22,PhD
user-36,User 36,34,Bachelor
user-37,User 37,22,High School
user-38,User 38,35,Bachelor
user-39,User 39,49,High School
user-40,User 40,19,Master
user-41,User 41,37,High School
user-42,User 42,60,PhD
user-43,User 43,43,High School
user-44,User 44,44,Bachelor
user-45,User 45,60,PhD
user-46,User 46,27,High School
user-47,User 47,55,Bachelor
user-48,User 48,44,Bachelor
user-49,User 49,31,Master
,User 50,-1,
user-51,User 51,35,Master
user-52,User 52,37,Bachelor
user-53,User 53,52,PhD
user-54,User 54,37,Master
user-55,User 55,43,Bachelor
user-56,User 56,65,Master
user-57,User 57,48,Bachelor
user-58,User 58,53,Bachelor
user-59,User 59,24,PhD
user-60,User 60,60,High School
user-61,User 61,56,Master
user-62,User 62,38,Bachelor
user-63,User 63,39,High School
user-64,User 64,54,Master
user-65,User 65,65,PhD
user-66,User 66,58,Master
user-67,User 67,21,Bachelor
user-68,User 68,22,Master
user-69,User 69,46,High School
user-70,User 70,38,Master
user-71,User 71,63,High School
user-72,User 72,55,Master
user-73,User 73,45,High School
user-74,User 74,57,Master
,User 75,-1,
user-76,User 76,19,High School
user-77,User 77,22,Master
user-78,User 78,65,Master
user-79,User 79,20,Bachelor
user-80,User 80,40,Bachelor
user-81,User 81,30,PhD
user-82,User 82,57,Bachelor
user-83,User 83,32,Bachelor
user-84,User 84,31,High School
user-85,User 85,55,Bachelor
user-86,User 86,48,Master
user-87,User 87,20,Master
user-88,User 88,41,PhD
user-89,User 89,32,Bachelor
user-90,User 90,62,Bachelor
user-91,User 91,49,PhD
user-92,User 92,53,PhD
user-93,User 93,45,Bachelor
user-94,User 94,46,High School
user-95,User 95,50,High School
user-96,User 96,32,High School
user-97,User 97,35,PhD
user-98,User 98,35,High School
user-99,User 99,54,Bachelor
,User 100,-1,
user-101,User 101,39,High School
user-102,User 102,31,PhD
user-103,User 103,51,Bachelor
user-104,User 104,19,PhD
user-105,User 105,45,PhD
user-106,User 106,53,PhD
user-107,User 107,19,High School
user-108,User 108,28,High School
user-109,User 109,33,PhD
user-110,User 110,47,Bachelor
user-111,User 111,18,High School
user-112,User 112,55,Master
user-113,User 113,36,Bachelor
user-114,User 114,51,High School
user-115,User 115,56,Master
user-116,User 116,19,Master
user-117,User 117,51,Bachelor
user-118,User 118,44,Master
user-119,User 119,41,High School
user-120,User 120,22,PhD
user-121,User 121,60,Master
user-122,User 122,34,Master
user-123,User 123,20,Master
user-124,User 124,42,PhD
,User 125,-1,
user-126,User 126,35,High School
user-127,User 127,22,High School
user-128,User 128,53,Master
user-129,User 129,65,PhD
user-130,User 130,21,Master
user-131,User 131,19,High School
user-132,User 132,52,PhD
user-133,User 133,21,High School
user-134,User 134,59,Master
user-135,User 135,45,PhD
user-136,User 136,20,PhD
user-137,User 137,47,High School
user-138,User 138,32,Bachelor
user-139,User 139,44,PhD
user-140,User 140,60,Bachelor
user-141,User 141,21,Bachelor
user-142,User 142,22,Master
user-143,User 143,42,PhD
user-144,User 144,39,PhD
user-145,User 145,32,Master
user-146,User 146,59,Bachelor
user-147,User 147,21,High School
user-148,User 148,52,Master
user-149,User 149,37,Master
,User 150,-1,
user-151,User 151,42,Master
user-152,User 152,55,PhD
user-153,User 153,28,High School
user-154,User 154,64,Bachelor
user-155,User 155,56,Master
user-156,User 156,25,Master
user-157,User 157,64,Bachelor
user-158,User 158,24,PhD
user-159,User 159,50,Master
user-160,User 160,38,Bachelor
user-161,User 161,34,PhD
user-162,User 162,23,High School
user-163,User 163,50,Master
user-164,User 164,58,PhD
user-165,User 165,34,Master
user-166,User 166,34,High School
user-167,User 167,35,Bachelor
user-168,User 168,45,PhD
user-169,User 169,31,Master
user-170,User 170,34,Master
user-171,User 171,51,Master
user-172,User 172,60,PhD
user-173,User 173,54,Master
user-174,User 174,57,PhD
,User 175,-1,
user-176,User 176,23,PhD
user-177,User 177,33,PhD
user-178,User 178,20,Bachelor
user-179,User 179,63,Bachelor
user-180,User 180,32,Master
user-181,User 181,56,High School
user-182,User 182,57,High School
user-183,User 183,25,Master
user-184,User 184,27,Master
user-185,User 185,30,Bachelor
user-186,User 186,45,Bachelor
user-187,User 187,28,Bachelor
user-188,User 188,34,Bachelor
user-189,User 189,52,High School
user-190,User 190,37,PhD
user-191,User 191,24,Bachelor
user-192,User 192,31,Bachelor
user-193,User 193,59,High School
user-194,User 194,38,Bachelor
user-195,User 195,21,High School
user-196,User 196,43,Master
user-197,User 197,53,High School
user-198,User 198,33,High School
user-199,User 199,47,High School
,User 200,-1,
user-201,User 201,50,Master
user-202,User 202,21,Master
user-203,User 203,50,Master
user-204,User 204,57,PhD
user-205,User 205,29,Bachelor
user-206,User 206,40,PhD
user-207,User 207,64,PhD
user-208,User 208,36,High School
user-209,User 209,37,Master
user-210,User 210,60,PhD
user-211,User 211,59,PhD
user-212,User 212,30,PhD
user-213,User 213,41,PhD
user-214,User 214,33,PhD
user-215,User 215,41,PhD
user-216,User 216,64,High School
user-217,User 217,48,High School
user-218,User 218,51,PhD
user-219,User 219,64,Bachelor
user-220,User 220,59,Bachelor
user-221,User 221,47,Master
user-222,User 222,53,PhD
user-223,User 223,65,Bachelor
user-224,User 224,58,PhD
,User 225,-1,
user-226,User 226,39,Bachelor
user-227,User 227,32,Bachelor
user-228,User 228,61,High School
user-229,User 229,60,High School
user-230,User 230,52,Bachelor
user-231,User 231,36,High School
user-232,User 232,20,High School
user-233,User 233,51,High School
user-234,User 234,57,Bachelor
user-235,User 235,38,Bachelor
user-236,User 236,31,High School
user-237,User 237,30,PhD
user-238,User 238,64,High School
user-239,User 239,47,Master
user-240,User 240,49,Master
user-241,User 241,54,PhD
user-242,User 242,44,Bachelor
user-243,User 243,57,Master
user-244,User 244,44,High School
user-245,User 245,45,Bachelor
user-246,User 246,30,Bachelor
